"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMC8",0.0757828906944309,0.278873094264237,0.387,0.307,1
"ANXA2R",0.0800215408728491,-0.496644880862647,0.232,0.258,1
"MICOS10",0.0805270619898462,0.128836932705206,0.27,0.202,1
"TNRC6B",0.080655976411678,0.256273181783342,0.389,0.301,1
"LRBA",0.0815743142813528,-0.543757733154997,0.232,0.255,1
"PCNP",0.0834093616318223,0.405654207894043,0.273,0.208,1
"PNRC1",0.0855324863882999,0.409189388958382,0.553,0.457,1
"COX7A2",0.0859205732738547,-0.355292682126337,0.349,0.376,1
"GNAS",0.0859895471838877,-0.495110965192635,0.248,0.283,1
"CUTA",0.0861834190140874,0.477927503537477,0.461,0.36,1
"PHF20",0.0863642501964815,0.237068690754533,0.302,0.227,1
"STK17A",0.0869021372262133,-0.108939937248504,0.485,0.506,1
"RBMX",0.0886899781757978,0.487115902799867,0.414,0.323,1
"DDX24",0.0897732177432849,0.506743422683849,0.265,0.202,1
"FKBP1A",0.0904263474703071,0.23764907707545,0.314,0.242,1
"UFC1",0.0908592937644582,-0.445405655332598,0.332,0.351,1
"HCLS1",0.0951236014103595,-0.444772712195571,0.318,0.323,1
"RNF149",0.0961790391901288,-0.239817343063387,0.246,0.283,1
"ZBTB20",0.096961832980215,0.127564308055524,0.43,0.354,1
"BRK1",0.0993208520901953,-0.7766130484985,0.406,0.413,1
"CELF2",0.100269574540682,-0.264511229916133,0.483,0.488,1
"ISG20",0.102010388950077,-0.277863249999424,0.507,0.481,1
"VIM",0.102545239368952,0.190010642717786,0.774,0.708,1
"CAPZB",0.103904620916655,-0.113054825024881,0.536,0.525,1
"PSMB7",0.104770234864075,-0.367199542929715,0.262,0.283,1
"PLAC8",0.105273127319201,-0.4138670288161,0.398,0.404,1
"SMYD3",0.105386888299429,-0.319060549898753,0.306,0.335,1
"HNRNPF",0.10557509192508,-0.464738790675545,0.34,0.348,1
"POLR2L",0.106525360471446,-0.260453107832319,0.27,0.301,1
"ATP5MC3",0.1072389824666,-0.187107635747105,0.341,0.357,1
"DNAJB6",0.107953552165401,-0.389091897084679,0.226,0.255,1
"MPHOSPH8",0.109250395399294,0.183487115482655,0.264,0.199,1
"ECH1",0.112442471241008,-0.368326086968889,0.235,0.258,1
"SRSF10",0.113402196907098,0.32557968803279,0.333,0.267,1
"ZNF706",0.118008604183935,0.205598412985985,0.256,0.193,1
"TTC39C",0.119369338647512,0.415563673323796,0.351,0.283,1
"COX6A1",0.120221844314753,-0.348283304911309,0.395,0.398,1
"NCOR1",0.120230457538241,-0.10288332216528,0.311,0.339,1
"PRDX5",0.125265339928831,-0.893756003248511,0.24,0.258,1
"CALM3",0.127151956140816,0.148331745045445,0.348,0.273,1
"NDUFB8",0.128906014710163,-0.213376691299525,0.422,0.413,1
"TRIR",0.134382406375279,-0.300393993514845,0.567,0.537,1
"SNRPN",0.135685425475505,0.261884820209633,0.319,0.248,1
"UBE2V1",0.136313910916181,-0.410467453832706,0.265,0.283,1
"RBM8A",0.137697294874558,-0.28819815446636,0.25,0.276,1
"CNBP",0.143055111400601,0.144584236028517,0.695,0.59,1
"COX8A",0.143834043336405,-0.254785895042095,0.278,0.301,1
"SERP1",0.143909452176281,0.166492349735676,0.477,0.398,1
"ADD3",0.14443394894112,0.187347248979853,0.291,0.22,1
"PSMB10",0.146074444714314,-0.34636522815038,0.355,0.357,1
"UXT",0.149515900081884,0.3138267499206,0.464,0.382,1
"CSDE1",0.149789994695731,0.216917525183097,0.314,0.252,1
"CCDC88C",0.149940812971672,-0.248172949724724,0.229,0.255,1
"KLF12",0.154924905853303,-0.168091562527878,0.499,0.484,1
"CCM2",0.15668430207258,0.447783437466036,0.267,0.214,1
"CXCR4",0.161335499214422,-0.1523832209795,0.684,0.661,1
"TNFAIP8",0.166080981367622,0.141056619239173,0.412,0.339,1
"KLF2",0.166492901365216,0.225411092530901,0.616,0.534,1
"ELMO1",0.166799938555882,0.289246687439868,0.265,0.205,1
"AP2M1",0.167449861490068,-0.379136479168042,0.262,0.273,1
"SPCS1",0.178399613639019,-0.294832787041525,0.397,0.394,1
"TSTD1",0.182671578665433,0.203264184593525,0.251,0.196,1
"DNAJB1",0.184106909779076,0.269406266247235,0.398,0.326,1
"ACAP1",0.185564607220362,0.351643727520492,0.398,0.32,1
"LINC01619",0.186812152551259,0.2088214632354,0.37,0.295,1
"UQCRC2",0.189814418782881,0.225403410169628,0.302,0.239,1
"MGAT4A",0.199216978588444,0.221669294913795,0.275,0.22,1
"PAIP2",0.20074005973215,-0.232516630622007,0.346,0.351,1
"ITK",0.203462112797057,-0.552494394396586,0.292,0.233,1
"COX5B",0.206536119430435,-0.185460095174813,0.395,0.394,1
"UBXN1",0.206895120482462,0.189338532642346,0.482,0.391,1
"RABAC1",0.213887298065604,-0.377781042713312,0.275,0.286,1
"SRSF4",0.216519851748176,-0.235792361600424,0.258,0.28,1
"ELOB",0.229135540590593,-0.143251445494289,0.385,0.388,1
"C11orf58",0.2323464628743,-0.172675679646842,0.417,0.398,1
"U2AF1",0.232540405063526,0.138159944048336,0.408,0.332,1
"TRMT112",0.241147978696998,-0.206655500056291,0.349,0.354,1
"CD164",0.241289379275241,-0.104607101954225,0.294,0.301,1
"NDUFS5",0.241568617682974,0.272446044398202,0.415,0.348,1
"MORF4L1",0.242014974086886,0.180940572659349,0.515,0.429,1
"GLRX",0.262754245261667,-0.398840404493185,0.264,0.276,1
"ATP6V1G1",0.264658544525273,0.231169173714689,0.597,0.503,1
"PITPNC1",0.264681151407071,-0.221509083196269,0.455,0.447,1
"BCAS2",0.265669397199447,0.284371368561213,0.3,0.258,1
"TCF25",0.275563851144356,-0.238604722876151,0.245,0.261,1
"ERH",0.284087765700946,-0.187433372965802,0.303,0.304,1
"TMEM230",0.284529714991796,-0.611278769367211,0.299,0.301,1
"ATP6V1F",0.30469671348482,-0.234356751608595,0.235,0.252,1
"CCND3",0.309362193536455,0.132874790024157,0.728,0.668,1
"UBE2L3",0.312495053327791,-0.133881371705872,0.275,0.276,1
"UQCRH",0.322464199490109,-0.406482129222152,0.385,0.385,1
"NDUFA13",0.334903245115658,-0.345162142017137,0.381,0.379,1
"ARHGDIB",0.34291290544229,-0.162728925826857,0.918,0.845,1
"TRBC2",0.346675645742859,-0.139720744783566,0.728,0.702,1
"CD69",0.353712834444462,0.215869532337074,0.518,0.463,1
"UBE2D3",0.355560547605686,-0.336822014028449,0.577,0.559,1
"NDUFB11",0.360384284110295,-0.152426829052343,0.318,0.32,1
"RAC1",0.364568303508673,-0.36222216361083,0.243,0.252,1
"SP110",0.376410593196934,0.113577150470716,0.284,0.236,1
"ISG15",0.380954212993334,-0.117977001787533,0.267,0.28,1
"SYTL3",0.384148249172057,0.195223045221189,0.376,0.32,1
"CYTH1",0.384911538561976,0.181546830963792,0.31,0.264,1
"CDC42SE2",0.387538850313817,-0.117886910229548,0.559,0.547,1
"MYLIP",0.393018522826102,-0.153162103967132,0.281,0.276,1
"SUMO1",0.394098959237816,-0.752650828712884,0.265,0.261,1
"BIN1",0.396966406503689,-0.138284005015265,0.294,0.289,1
"LAT",0.400292257871774,-0.16907895838132,0.313,0.317,1
"EIF3K",0.416560512919886,0.190737071943299,0.725,0.646,1
"APBB1IP",0.424673889665913,-0.255307342264898,0.397,0.376,1
"GMFG",0.441597635804456,-0.436228833202409,0.648,0.596,1
"CCDC91",0.4443185521137,-0.415179144436696,0.259,0.267,1
"ICAM3",0.447205841180239,-0.233667268214985,0.335,0.329,1
"ABRACL",0.461654394784514,0.365882097059105,0.273,0.236,1
"SH3BGRL",0.463665166853895,-0.118912951895718,0.349,0.332,1
"COX6C",0.467235695249406,0.228746281813969,0.482,0.419,1
"SORL1",0.470294913249653,0.157611799871666,0.258,0.214,1
"DNAJA1",0.473833574654137,-0.196358261685229,0.306,0.298,1
"PGK1",0.473963083385645,-0.306459858263348,0.444,0.373,1
"KRT10",0.486438782339919,-0.478811516334199,0.262,0.255,1
"EIF4G2",0.489308137544206,-0.590240235826217,0.265,0.217,1
"ATP5IF1",0.490983418417243,-0.206759224409501,0.297,0.298,1
"KHDRBS1",0.492565391585892,0.193842968386719,0.283,0.239,1
"COTL1",0.495049055892492,-0.474216201312616,0.42,0.398,1
"OCIAD2",0.504961553701838,-0.105478100600431,0.321,0.273,1
"TOMM6",0.50692816557698,-0.112729254348883,0.341,0.323,1
"SRP9",0.512835045154143,0.266023953027251,0.354,0.342,1
"CIRBP",0.515170668735071,-0.266814035103224,0.742,0.689,1
"ATM",0.521220423601908,-0.140341321408323,0.318,0.261,1
"CD3G",0.524712436393498,-0.341075967862702,0.355,0.323,1
"MTDH",0.525225757464282,-0.189106144846095,0.292,0.283,1
"NDUFA1",0.527118304741514,-0.104908166048691,0.262,0.264,1
"SP100",0.530025649860974,-0.199548598217336,0.381,0.36,1
"FAM107B",0.530525725103037,0.151894928944638,0.314,0.267,1
"CARD11",0.537428702655669,-0.421335126415202,0.264,0.255,1
"ARL6IP4",0.545155053795488,-0.136897584221537,0.411,0.398,1
"ARPC5",0.54561199786568,-0.214009927180598,0.442,0.401,1
"SON",0.549831809817107,-0.141604575835913,0.348,0.335,1
"VAPA",0.568533178820089,-0.171815450897326,0.258,0.224,1
"NDUFV2",0.569496665805613,-0.192896895706898,0.254,0.22,1
"PDCD4",0.569880922521061,-0.132790487152845,0.256,0.261,1
"DYNLT1",0.582356489983244,-0.227829281227616,0.314,0.28,1
"ARHGEF1",0.601817479341654,-0.100319462352183,0.258,0.217,1
"VAMP2",0.603934045011276,-0.148105650339075,0.521,0.478,1
"DRAP1",0.619656479781479,-0.340007831327171,0.384,0.363,1
"CSTB",0.631632154234025,-0.334384104862726,0.251,0.242,1
"NDUFB2",0.63389589667162,-0.12163822398649,0.294,0.28,1
"HNRNPA0",0.652166837627016,0.25098320419409,0.46,0.401,1
"UQCR10",0.654260993926411,-0.168889582752317,0.289,0.28,1
"RBL2",0.654978504677676,-0.168617681196492,0.269,0.23,1
"SUMO2",0.655046865375119,-0.20002541218305,0.566,0.5,1
"EDF1",0.656330414653254,-0.187072558294133,0.616,0.543,1
"SUB1",0.656860944317158,-0.33367156087229,0.265,0.255,1
"ANXA11",0.66930330921245,-0.516728068721688,0.259,0.248,1
"RBM39",0.67169084967368,0.153416761639838,0.518,0.46,1
"TBRG1",0.677770304975663,-0.117343448296178,0.286,0.276,1
"PCBP1",0.694960570358715,-0.171144190144243,0.365,0.342,1
"SELENOW",0.700171745436872,0.132619727012752,0.272,0.233,1
"CIB1",0.70104501061013,-0.127170290287417,0.398,0.357,1
"CMPK1",0.703543328597779,-0.336607565554973,0.441,0.41,1
"MBNL1",0.712251931633464,0.172022435156896,0.657,0.599,1
"THEMIS",0.717045174878561,0.235475529468063,0.344,0.301,1
"MZT2A",0.724343087342949,-0.361289488943261,0.291,0.255,1
"JAML",0.726533881371431,-0.127477901343307,0.272,0.239,1
"CITED2",0.731137186211998,-0.181785144963669,0.262,0.236,1
"C1QBP",0.73621227306889,-0.288891487913186,0.37,0.317,1
"SNX3",0.749408091728828,0.153271094478354,0.305,0.28,1
"ATP5MC2",0.76936839854525,-0.202958580802143,0.777,0.717,1
"GABARAP",0.780792490630271,0.248861813848313,0.58,0.525,1
"SYF2",0.785531366277398,0.220972056257801,0.322,0.292,1
"RANBP1",0.789733339781791,-0.133127139711351,0.265,0.236,1
"CSNK2B",0.794872467124671,-0.471831772418803,0.254,0.224,1
"PCBP2",0.807093030471052,-0.120542826692326,0.482,0.422,1
"UQCRFS1",0.808309220507796,0.145645630149625,0.258,0.245,1
"VPS28",0.815920454051712,-0.627172310858106,0.297,0.264,1
"XRCC6",0.818895290120424,-0.33167598353922,0.352,0.329,1
"CD48",0.827281636423335,0.334934620054202,0.681,0.643,1
"PRMT2",0.830119960186794,-0.387636830714372,0.363,0.339,1
"H2AZ1",0.831984381909395,0.27573947641394,0.341,0.311,1
"RAP1A",0.833907615046284,-0.208784270204228,0.359,0.314,1
"JMJD1C",0.843994929912373,0.107166069638703,0.292,0.27,1
"EIF3M",0.863837470378928,0.114988271731746,0.367,0.323,1
"FUS",0.864826752145225,-0.787719405053942,0.311,0.283,1
"VAMP8",0.877319355562669,-0.598267953379554,0.393,0.351,1
"TNIK",0.900296359159864,-0.118543932084948,0.289,0.264,1
"SLC25A3",0.906758374904401,-0.11266434491844,0.466,0.419,1
"EIF3D",0.912294768613814,-0.248633266393721,0.423,0.382,1
"GIMAP1",0.914569351324566,-0.17789977669326,0.352,0.317,1
"MIF",0.918342698932631,-0.105268764459807,0.703,0.621,1
"RTRAF",0.936298049987112,-0.116555087584373,0.283,0.261,1
"SCAND1",0.937060583234423,-0.195937577966587,0.261,0.242,1
"GSTK1",0.937091827698969,-0.106810189583451,0.506,0.444,1
"GIMAP4",0.937167705393571,0.164597168863061,0.501,0.45,1
"CCNL1",0.962892840605726,0.131258571981394,0.251,0.233,1
"EIF3I",0.977502223175171,-0.155463116507774,0.25,0.23,1
"LRRFIP1",0.986903845512156,0.214612319958417,0.381,0.363,1
"RBM4",0.990289321251471,-0.298454369542488,0.281,0.258,1
"CLEC2D",0.991356340478653,-0.172566194560247,0.355,0.323,1
"DAD1",0.995650940995833,-0.106004472026752,0.379,0.348,1
