"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PRELID1",4.0193252433474e-06,-0.803628056618178,0.269,0.373,0.0812948723719445
"VCP",4.11107519849253e-06,-0.758034898644897,0.227,0.345,0.08315060696471
"GSTP1",4.14792561008777e-06,-1.10112804522081,0.191,0.298,0.0838959433896352
"IER2",4.7411284495784e-06,-0.731143972892762,0.523,0.599,0.0958940640211727
"RSL1D1",4.76380631911724e-06,0.726630440437708,0.404,0.227,0.0963527466104652
"CALR",4.78520107214634e-06,-1.06508093470923,0.183,0.295,0.0967854768852318
"COX5A",5.86916946374048e-06,-1.26834832354642,0.207,0.314,0.118709821573615
"RPS19BP1",6.13239827214723e-06,-1.01870205906096,0.163,0.27,0.12403388745245
"PICALM",7.05640641675033e-06,-0.967553410793374,0.144,0.252,0.142722876185192
"HINT1",7.45959461991264e-06,0.534129940170371,0.722,0.559,0.150877760782353
"ATP1B3",7.83091212241262e-06,-0.917912727628861,0.144,0.252,0.158388028587918
"SUN2",9.07213065628048e-06,-0.840766871139866,0.253,0.36,0.183492914653929
"HSP90AA1",9.85126378150246e-06,-0.628016304766475,0.472,0.547,0.199251661244669
"CD6",1.02577929033086e-05,0.825731546041845,0.275,0.14,0.207474119262321
"SAT1",1.0471620258049e-05,-0.774943355380265,0.267,0.373,0.211798991339298
"TMBIM6",1.07145865420118e-05,-0.452222934814783,0.491,0.568,0.216713227398731
"MT-CYB",1.18694773605114e-05,-0.385937612389541,0.932,0.932,0.240072049093703
"PSME2",1.18927992162833e-05,-0.458273606321103,0.406,0.525,0.240543756948546
"LITAF",1.26125157660673e-05,-1.04614475692741,0.351,0.444,0.255100743884477
"UBE2I",1.43820056027869e-05,-0.771048239442515,0.229,0.339,0.290890445321969
"DOCK10",1.5564505945008e-05,0.371069469233151,0.487,0.307,0.314807697243731
"COX7C",1.56044770810731e-05,0.403644888484213,0.76,0.624,0.315616153441784
"MCUB",1.63641424267603e-05,0.533222528747437,0.469,0.289,0.330981144723653
"TGFBR2",1.78445816704129e-05,1.07902593514213,0.256,0.13,0.360924508865771
"PTPN4",1.94536234391553e-05,-1.06006047048919,0.153,0.252,0.393468987680354
"TRAT1",1.99981943182883e-05,0.773366680404391,0.288,0.152,0.404483478281699
"PTMA",2.07004679782726e-05,0.199051310314477,0.986,0.975,0.418687665328542
"IL2RG",2.12959733335811e-05,-0.681150851474445,0.428,0.509,0.43073235664501
"SELENOT",2.34139506695614e-05,-0.86293652401063,0.248,0.339,0.473570566242549
"ARF6",2.54905520325317e-05,-0.425488392648889,0.284,0.376,0.515571905409987
"SNHG7",2.77220876080197e-05,0.71258740880121,0.31,0.165,0.560706943959806
"PRKCH",2.78297973495265e-05,-0.512256706607992,0.517,0.575,0.562885481191523
"SRSF5",3.04687785151071e-05,0.435777262419649,0.788,0.64,0.616261514246556
"HNRNPA3",3.09244027958178e-05,-0.76257449478261,0.261,0.357,0.62547697094821
"SNHG6",3.24048105195918e-05,0.458900654473704,0.585,0.419,0.655419697569264
"COPE",3.24808786814607e-05,-0.728541327552569,0.313,0.413,0.656958252211223
"SNRPB",3.36684494090571e-05,-1.01727331722088,0.27,0.36,0.680978057747588
"RASSF5",3.39590182397951e-05,-0.849429223267014,0.166,0.264,0.686855102918095
"GYPC",3.70136451477146e-05,0.590862136644572,0.445,0.286,0.748637986757676
"IFITM1",3.81256555936592e-05,-0.266874425516016,0.919,0.929,0.771129510037351
"PPA1",4.19122733898634e-05,0.672723349790014,0.403,0.248,0.847717641583376
"RHOA",4.21541130960498e-05,-0.525806800071439,0.387,0.469,0.852609091480704
"RHOH",4.61896175927523e-05,0.52529031774404,0.524,0.351,0.934231205431008
"ARL6IP5",4.83625912466156e-05,-0.481987645110739,0.392,0.472,0.978181770554046
"RNASET2",5.36414603384216e-05,0.963836600367412,0.412,0.27,1
"ENO1",5.71011807207548e-05,-0.307691325892692,0.457,0.537,1
"PPP3CC",6.16273238768325e-05,-0.714232249364561,0.283,0.376,1
"CDC37",6.61176900768964e-05,-1.36458117872594,0.179,0.276,1
"RAPGEF6",6.71955501035514e-05,1.06172674158169,0.286,0.158,1
"PCED1B",6.81889792700617e-05,0.889633819382068,0.359,0.217,1
"COX4I1",7.58011101877408e-05,0.286194866808402,0.905,0.832,1
"CYTIP",8.00939686438738e-05,0.632403870085681,0.441,0.289,1
"PARK7",8.0786345895112e-05,-0.591769186770528,0.398,0.463,1
"NFKBIA",8.39766225055865e-05,-0.985734575575408,0.275,0.363,1
"SDHC",8.73779860073116e-05,-0.921809290297026,0.177,0.267,1
"PTPRC",0.000102616986095633,-0.403882755822201,0.528,0.578,1
"STAT3",0.000107280574921859,0.30985397392754,0.373,0.236,1
"CD3D",0.00010896718943664,-0.291833080560311,0.848,0.863,1
"RAB5IF",0.00011524645064066,-0.978560085248345,0.175,0.267,1
"BST2",0.000123323774893497,-0.617806526719478,0.28,0.379,1
"MT-ND2",0.000131132863638366,-0.376607589810682,0.916,0.913,1
"XBP1",0.000141717629810784,-0.779416181591253,0.232,0.329,1
"EIF2S3",0.000143211954497574,0.681609574164925,0.264,0.143,1
"ARL4C",0.000149031591490375,-0.886287693392837,0.194,0.28,1
"FXYD5",0.000159957351912457,0.356608410606627,0.749,0.584,1
"CALM2",0.000160707023525988,-0.568211172846118,0.428,0.478,1
"STAT4",0.000168389534623686,-0.60347560520272,0.253,0.345,1
"UCP2",0.000181808482492518,-0.471757237787191,0.433,0.522,1
"RPL26",0.000225221884321109,0.130121426224832,0.983,0.994,1
"SF1",0.00023000143223005,0.813762457396684,0.344,0.214,1
"CD52",0.000231065293224081,-0.24676839621102,0.893,0.876,1
"PSMA7",0.000232042251103213,-0.42728307573467,0.439,0.506,1
"AAK1",0.000242383375488629,0.403879369354098,0.42,0.27,1
"IQGAP2",0.000249486566807069,-0.623509350800657,0.229,0.323,1
"MEAF6",0.000252054633635901,-0.670460783094075,0.235,0.317,1
"RPS26",0.000256433673193044,0.184578211522707,0.957,0.913,1
"BTF3",0.000290514184363848,0.316357545401137,0.904,0.835,1
"PSMB6",0.000320761913836296,-0.252162095201907,0.183,0.258,1
"MT-ND5",0.000345136676394589,-0.520510232685053,0.39,0.463,1
"RNASEK",0.00034521712945296,-0.839864283045293,0.357,0.438,1
"KRTCAP2",0.000360625656082232,-0.722488370035911,0.281,0.366,1
"PACS1",0.000369229263110346,0.265231248409903,0.419,0.283,1
"RHOG",0.000369946622796035,-1.0496818261407,0.216,0.298,1
"IRF1",0.000399211325514195,-0.65469554209556,0.234,0.32,1
"PRR13",0.000405590271237915,-0.565085286708328,0.37,0.444,1
"BIRC6",0.00041774107312008,-0.753009812367925,0.175,0.258,1
"PRKCB",0.000425315472006275,-0.689423323800568,0.261,0.342,1
"ENSG00000294512",0.000431214296928119,0.291690844329532,0.774,0.63,1
"HMGB1",0.00043708223645804,-0.409478074543386,0.608,0.652,1
"GADD45B",0.000466036262984508,-0.88096822503424,0.18,0.261,1
"LPP",0.000479234348456662,-0.748023671585552,0.167,0.252,1
"OSTF1",0.00051913489219322,-0.675137389390114,0.22,0.298,1
"IGBP1",0.000534335572357224,0.643744159943266,0.314,0.189,1
"DYNLL1",0.000613493882357077,-0.831727972859313,0.197,0.276,1
"MBP",0.000621250372068324,-0.454047968088539,0.174,0.261,1
"CYRIB",0.000693116393462696,-0.448179609924256,0.355,0.432,1
"H3-3B",0.00072832544126942,-0.317712806751997,0.937,0.929,1
"MSN",0.000728476727704894,-0.735919710209273,0.21,0.289,1
"WIPF1",0.000734962243746074,-0.510448596872279,0.254,0.335,1
"TOMM20",0.000742079481203982,0.643342770427345,0.316,0.202,1
"CD2",0.000789460866426211,-0.311268678905755,0.422,0.475,1
"RPL39",0.000815453692691574,0.573883532171079,0.51,0.398,1
"KMT2E",0.000842230198282629,-0.548693409013161,0.373,0.438,1
"TERF2IP",0.000844104020994224,-0.68676892614409,0.242,0.32,1
"LY6E",0.000880781198951353,-0.289615667000217,0.502,0.568,1
"BBLN",0.000915784343818531,-0.809219483308798,0.31,0.373,1
"TUBA1A",0.000923868743956052,0.544380330443561,0.425,0.295,1
"CHCHD2",0.000933501906043125,-0.314131696280756,0.652,0.677,1
"WDR83OS",0.00102063525882684,-0.488604805412731,0.205,0.283,1
"PIK3R5",0.00103544459040804,-0.571969717151859,0.253,0.329,1
"IRF9",0.00104868637051557,-0.583064664893179,0.237,0.32,1
"SCP2",0.0010641660039301,-0.881828323118254,0.185,0.255,1
"TRAF3IP3",0.0010699765584421,0.585937093357439,0.613,0.481,1
"RAB2A",0.00108252318894272,-0.641835539478985,0.237,0.314,1
"TUBA4A",0.00110992155695905,-0.618342076680817,0.262,0.329,1
"TMEM131L",0.00111751130948057,1.07842490978611,0.276,0.174,1
"CCDC85B",0.00115412353399485,-0.455751390769773,0.273,0.354,1
"LDHA",0.00116360769952999,-0.722348983655076,0.395,0.441,1
"PRDX1",0.00117374533581679,-0.417196572758432,0.207,0.283,1
"NDUFB7",0.00118163287237474,-0.824736522537475,0.188,0.258,1
"DBI",0.00118624789335269,-0.736530096261731,0.239,0.304,1
"BABAM2",0.00119420825545794,-0.748233035276945,0.182,0.255,1
"LIMD2",0.00120417930207677,0.54226538360354,0.662,0.516,1
"USP15",0.00125323277751905,0.866565313381248,0.34,0.214,1
"PSIP1",0.00132247616757865,0.634983661779476,0.275,0.168,1
"ADGRE5",0.00138739638742711,-0.453699075956701,0.425,0.509,1
"HMGN1",0.00143228780924186,0.523825116992227,0.566,0.435,1
"ANP32B",0.0014561792803269,0.477676195689498,0.45,0.317,1
"RAB11A",0.0015459865574019,0.103047727545925,0.392,0.264,1
"TMED9",0.00167227068746381,-0.638156370102717,0.215,0.28,1
"YWHAB",0.00167394110658025,-0.303223252261321,0.423,0.481,1
"EEF1D",0.00168842984500025,0.16597279039732,0.949,0.947,1
"UTRN",0.00177600300576678,-0.413946084795524,0.221,0.295,1
"STK17B",0.00188314061884049,0.485788139115096,0.521,0.37,1
"AKAP13",0.00188558514306289,-0.640792345002772,0.272,0.342,1
"ARPC3",0.00194269268832224,-0.472533676154502,0.657,0.649,1
"H3-3A",0.00201897425940665,-0.472100035618322,0.588,0.612,1
"ATP5F1B",0.00205188138780799,-0.61365246801113,0.261,0.323,1
"SMDT1",0.00210037183755481,0.750600346314985,0.403,0.276,1
"SPCS2",0.00212900206709582,-0.755561068499794,0.264,0.329,1
"CD47",0.00229440088348343,-0.690063511377682,0.239,0.295,1
"WDR1",0.00242767752648215,-0.424895948200528,0.193,0.255,1
"ZFAS1",0.00247814700074671,0.333538784247521,0.643,0.506,1
"MT-ND4",0.002692367155822,-0.175579415297611,0.964,0.957,1
"TMEM59",0.00273553675628763,-0.545884030901813,0.349,0.41,1
"PPP1R15A",0.00281287206927655,0.455698982436066,0.362,0.245,1
"SELENOF",0.00295577672527878,-0.505631072154141,0.24,0.307,1
"EIF3F",0.00297394999599944,0.380981756002998,0.66,0.553,1
"ARPC4",0.00298454413700671,-0.283321758493812,0.242,0.301,1
"MCL1",0.00308198109816308,-0.619308067085218,0.37,0.416,1
"SF3B5",0.00336417433885486,-0.485628985289232,0.305,0.363,1
"DSTN",0.00337140084813828,-0.645919859086872,0.188,0.252,1
"BTG2",0.0034688412847019,0.554980729727654,0.419,0.307,1
"PDE7A",0.00352385768682661,0.654194160222463,0.258,0.165,1
"XRCC5",0.0035903019875131,-0.317784183893843,0.235,0.298,1
"COMMD6",0.00374236899855833,0.381744543135912,0.649,0.531,1
"SBDS",0.0037765589976803,0.466768980402097,0.261,0.161,1
"STX8",0.00392309583787874,-0.552569633514732,0.199,0.267,1
"CORO7",0.00399581039222806,0.524895978146762,0.329,0.22,1
"RIPOR2",0.00400738220934531,0.392968618255724,0.705,0.575,1
"SH3KBP1",0.00408133116649222,-1.23752825369922,0.283,0.339,1
"FNBP1",0.00411513021935978,-0.660201242873034,0.344,0.41,1
"STK10",0.00425158446436789,-0.670649476303493,0.216,0.28,1
"ESYT2",0.00427822038046808,0.374516434944669,0.275,0.174,1
"RALY",0.00445870636066373,-0.578351392107481,0.22,0.276,1
"CCNI",0.00501005100866518,0.322197312529805,0.682,0.531,1
"YPEL5",0.00505314112454054,0.511901674267422,0.393,0.28,1
"RORA",0.00513121457477878,-0.90212898810222,0.232,0.307,1
"SRSF3",0.00534620229576456,-0.364899978972685,0.433,0.484,1
"SSR2",0.00550302669880516,-0.438731336394263,0.605,0.624,1
"FCMR",0.00552582813199392,0.50890344084562,0.272,0.177,1
"LCK",0.0061261891719414,-0.308752790185746,0.528,0.581,1
"SRSF7",0.00640650855988375,-0.328991065974901,0.49,0.522,1
"AURKAIP1",0.00683292119563737,-0.562450221721737,0.213,0.27,1
"EIF4B",0.00698856648634513,0.441829624661524,0.273,0.189,1
"EPB41",0.00708262292783397,0.536369544343399,0.351,0.248,1
"C12orf57",0.00717559314122203,0.363439640496525,0.436,0.323,1
"EVI2B",0.00735048836132984,0.52325079449843,0.275,0.18,1
"SQSTM1",0.0076504895378344,-0.538634480075784,0.204,0.261,1
"PSMB3",0.00787781236887194,-0.555341775401185,0.242,0.295,1
"NDUFB10",0.00798818985478605,-0.223365386086335,0.246,0.295,1
"GIMAP5",0.00856500144019626,0.116597301527337,0.406,0.298,1
"RAC2",0.00872287578251504,-0.115913379367277,0.575,0.602,1
"HNRNPK",0.00886099962317631,-0.331108003630161,0.449,0.475,1
"TUBB",0.0089138668183852,-0.528776124856993,0.269,0.326,1
"CHURC1",0.00897889121320951,0.481288736900472,0.256,0.168,1
"UBAC2",0.00934695183904107,0.62492084836885,0.329,0.227,1
"UBE2L6",0.0098159140869514,-0.645608574788373,0.196,0.252,1
"SIK3",0.0102367109705745,-0.711191135013261,0.415,0.441,1
"ATP6V0E1",0.0103911706348965,-0.580992973818805,0.485,0.516,1
"GPSM3",0.0104301039942606,-0.232206151371766,0.64,0.528,1
"S1PR4",0.0109452256186983,-0.817386138676721,0.25,0.301,1
"EIF4A2",0.011216530418072,0.29822302233531,0.728,0.618,1
"PSMD8",0.0116293417445598,-0.546508282617689,0.218,0.27,1
"RASGRP2",0.0118153911641934,0.457033005153076,0.251,0.168,1
"SEMA4D",0.0119135798207625,0.553787439644531,0.259,0.171,1
"TNRC6C",0.0123938707910772,0.333163309621017,0.25,0.158,1
"SOD1",0.0124886667562376,0.376689990898008,0.591,0.463,1
"GHITM",0.0130887355693646,-0.543729555999259,0.31,0.348,1
"EIF5",0.0134877754445502,-0.300461832625213,0.234,0.276,1
"ZFP36",0.0137668401658246,-0.302477015967637,0.54,0.565,1
"MRPS21",0.0143572755454308,0.708079807782213,0.278,0.193,1
"ATP5PD",0.0144507849929802,0.25728167379311,0.348,0.252,1
"PSMB1",0.0147139466503082,-0.34979027044948,0.389,0.416,1
"BUB3",0.0150954641249191,-0.559998933063577,0.21,0.261,1
"ELF1",0.0151462632802641,0.137680003588857,0.303,0.205,1
"CHMP4A",0.015228642976863,-0.683150535247887,0.256,0.307,1
"TMEM14B",0.015671883287752,0.4149850340625,0.283,0.189,1
"SEPTIN9",0.0158340193559322,0.331719458443736,0.385,0.276,1
"ATP5PO",0.0160148006961879,0.342581296764605,0.442,0.332,1
"LMAN2",0.0162726995437183,-0.79464242637663,0.201,0.252,1
"ENSA",0.0166446620681882,-0.261801851749239,0.318,0.366,1
"CHST11",0.0166845224956886,-0.505370834864515,0.226,0.283,1
"SMCHD1",0.017490895442843,0.640412373516839,0.378,0.276,1
"YBX1",0.0180950578888449,-0.354068042842955,0.746,0.73,1
"ST3GAL1",0.0187355161326538,-0.393352738344259,0.259,0.174,1
"TECR",0.018936493400364,0.34028946292423,0.324,0.227,1
"TAOK3",0.0192878885052273,-0.614100809548422,0.227,0.27,1
"SRP14",0.0194706149773052,-0.531301052776342,0.736,0.714,1
"ACTR3",0.0195664544955276,-0.230150346660066,0.385,0.416,1
"PPP1R2",0.0198334485389659,0.57024995302574,0.384,0.283,1
"CD37",0.0211207190204788,0.208261789912652,0.664,0.547,1
"TPM3",0.021856764486538,-0.330276934638458,0.343,0.382,1
"NSA2",0.0221426957380614,0.342996473213433,0.251,0.171,1
"HNRNPA2B1",0.0222180104917832,-0.208831071533673,0.58,0.578,1
"SRSF2",0.0223896359787071,-0.271649254519663,0.354,0.391,1
"CD7",0.0231441636115328,0.183243139712737,0.592,0.453,1
"HNRNPM",0.0243526555865183,-0.696967229834573,0.314,0.351,1
"HIGD2A",0.024789235017076,0.274035713263143,0.414,0.311,1
"BTN3A2",0.0248485144683089,-0.598395622354531,0.21,0.261,1
"YWHAZ",0.0256185168801183,0.36947197193197,0.373,0.276,1
"EML4",0.0273028203284369,-0.584095927656659,0.232,0.276,1
"TXNIP",0.0284126096474068,-0.508037548592846,0.708,0.696,1
"EIF3L",0.0285000535790836,0.254747950727274,0.493,0.376,1
"SEPTIN6",0.0290498325564691,0.361868354529866,0.376,0.276,1
"TAGAP",0.0303555238517086,0.311215226204458,0.253,0.18,1
"TPI1",0.0310749093814254,-0.330656358418592,0.33,0.363,1
"LIME1",0.0313386733369642,-0.222751627746473,0.487,0.512,1
"HMGN4",0.0320816817616927,-0.426397276427945,0.216,0.261,1
"RBM3",0.032211442892875,-0.615230413300022,0.578,0.575,1
"TLE5",0.0346732093410588,0.239540549781642,0.635,0.503,1
