"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP5F1E1",1.51974487713211e-10,0.518389928573986,0.955,0.714,3.07383598848741e-06,"5","ATP5F1E"
"PPDPF",1.5850957778944e-10,0.472169536168058,0.943,0.782,3.20601472036921e-06,"5","PPDPF"
"SPG211",1.59878450252881e-10,0.698707545548123,0.369,0.146,3.23370153481476e-06,"5","SPG21"
"ABHD3",1.77697712856858e-10,0.811832333915918,0.293,0.104,3.59411394024281e-06,"5","ABHD3"
"PRDX11",1.8258616913205e-10,1.10593923243733,0.541,0.264,3.69298785686483e-06,"5","PRDX1"
"ERP44",1.85004928291111e-10,0.798772006208073,0.401,0.165,3.74190967961601e-06,"5","ERP44"
"OTUB1",1.94432793827522e-10,0.666854126763778,0.344,0.133,3.93259768795546e-06,"5","OTUB1"
"MIR142HG",1.96823595107435e-10,0.608166283079945,0.369,0.144,3.98095403464299e-06,"5","MIR142HG"
"SNX9",1.99250401287318e-10,1.16756744542322,0.325,0.125,4.03003861643729e-06,"5","SNX9"
"SHKBP11",2.01956565259926e-10,0.884701264544443,0.369,0.151,4.08477348894725e-06,"5","SHKBP1"
"TLE4",2.02467140774006e-10,0.994878878900991,0.395,0.167,4.09510038929505e-06,"5","TLE4"
"QKI1",2.106225354287e-10,0.707415511539936,0.318,0.12,4.26005140158089e-06,"5","QKI"
"ABRACL",2.75208994542113e-10,0.863229358343322,0.516,0.243,5.56637712360878e-06,"5","ABRACL"
"MTMR14",2.75545673863578e-10,0.935948002854507,0.28,0.101,5.57318679956473e-06,"5","MTMR14"
"ZNHIT11",3.21766549927238e-10,0.646616630460121,0.51,0.234,6.50805023882832e-06,"5","ZNHIT1"
"PSMC3",3.5028648409568e-10,0.761109995003364,0.363,0.144,7.08489442731923e-06,"5","PSMC3"
"HCLS1",3.51701475922298e-10,0.76886421484677,0.662,0.349,7.1135140520044e-06,"5","HCLS1"
"COX7A2",3.69061177369835e-10,0.663977025882393,0.669,0.355,7.46463137348228e-06,"5","COX7A2"
"UQCR101",3.7014139475542e-10,0.58803472343179,0.624,0.31,7.48647985032313e-06,"5","UQCR10"
"PSMC1",3.80913633253934e-10,0.821344006953202,0.389,0.159,7.70435914619407e-06,"5","PSMC1"
"HK1",4.58814358776207e-10,0.857952801346342,0.255,0.088,9.27997922060756e-06,"5","HK1"
"PSMB4",5.03705751441055e-10,0.685179673349592,0.376,0.151,1.01879525286468e-05,"5","PSMB4"
"GNAQ",5.69023987753875e-10,1.32626859306885,0.293,0.107,1.15090791763099e-05,"5","GNAQ"
"SNX21",5.80060141401074e-10,0.430329408949578,0.516,0.23,1.17322964199781e-05,"5","SNX2"
"VAV1",5.99452828910672e-10,0.899012652019671,0.255,0.089,1.21245329175472e-05,"5","VAV1"
"WDR83OS1",6.41375995619375e-10,0.517557522823638,0.611,0.298,1.29724708873975e-05,"5","WDR83OS"
"SEPTIN91",7.80395193453071e-10,0.612782917068853,0.611,0.322,1.57842731827818e-05,"5","SEPTIN9"
"PRKCE1",8.04131368737504e-10,0.72840407949452,0.318,0.123,1.62643610640848e-05,"5","PRKCE"
"GNG10",8.1806950117456e-10,0.822729617159118,0.306,0.116,1.65462737307566e-05,"5","GNG10"
"SERPINB9",1.0616314055324e-09,0.95814366115263,0.293,0.113,2.14725568082983e-05,"5","SERPINB9"
"STX71",1.17471495495644e-09,1.05975661544856,0.293,0.11,2.3759784678949e-05,"5","STX7"
"ZFP361",1.29105422317512e-09,0.479829348827851,0.866,0.623,2.61128627179399e-05,"5","ZFP36"
"CHCHD2",1.3127055378778e-09,0.498127091090216,0.949,0.688,2.65507822091164e-05,"5","CHCHD2"
"PICALM1",1.31953031472463e-09,0.629428287239888,0.452,0.204,2.66888201456203e-05,"5","PICALM"
"OGFR",1.39258651639014e-09,0.737737413588923,0.287,0.105,2.81664548805069e-05,"5","OGFR"
"DYNLL11",1.44127663919039e-09,0.440052159147046,0.586,0.298,2.91512613042649e-05,"5","DYNLL1"
